Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0,0.00168973878682044,0.170983413772257,0,0,0,12.181226944499,0.17468466573427,4.1561083278611E-18,2.88104139792763E-18,0.17468082989543,-0.000359769710444839,0.0648964003406475,0,0,0,0,0,0,package://Scara Assembly urdf 1/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Scara Assembly urdf 1/meshes/base_link.STL,,Base_Scara-1,Coordinate System2,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,0.315679111493496,0.00187609751792639,0.3325,0,0,0,13.501384910232,0.0572222535179723,-9.51473104646819E-18,3.44290388683238E-18,0.554053995069199,-3.78889785505087E-18,0.581830457702875,0,0,0,0,0,0,package://Scara Assembly urdf 1/meshes/Link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Scara Assembly urdf 1/meshes/Link_1.STL,,Link 1_Scara-1,Coordinate System2,Axis1,Joint_1,revolute,0,0,0,0,0,0,base_link,0,0,-1,0,7.1,-2.53,2.53,,,,,,,,
Link_2,0.190594383553034,8.92086404746806E-12,0.251287080531013,0,0,0,35.3260682085601,0.434226114580085,-3.43699572585514E-11,0.141807287426322,1.54310732304715,-3.01122712697859E-11,1.31387961173795,0,0,0,0,0,0,package://Scara Assembly urdf 1/meshes/Link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Scara Assembly urdf 1/meshes/Link_2.STL,,Link 2_Scara-1,Coordinate System3,Axis2,Joint_2,revolute,0.65,0.0018761,0.275,0,0,0,Link_1,0,0,1,0,9.14,-2.53,2.53,,,,,,,,
Link_3,2.22044604925031E-16,0,0.4,0,0,0,2.25445878305572,0.119958862349999,-4.2351647362715E-21,-4.13721713108125E-20,0.119958862349999,-1.30023521331012E-19,0.00101202589154973,0,0,0,0,0,0,package://Scara Assembly urdf 1/meshes/Link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Scara Assembly urdf 1/meshes/Link_3.STL,,Endeffector_Scara-2,Coordinate System4,Axis3,Joint_3,prismatic,0.6,0,0.88698,3.1416,0,0,Link_2,0,0,-1,0,2.24,-0.45,0,,,,,,,,
Link_4,0,0,-0.0185000000000002,0,0,0,0.004618141200777,4.02932819767794E-07,-1.10635406928968E-23,4.48310875893548E-38,4.02932819767794E-07,6.61744490042428E-24,1.13144459419037E-07,0,0,0,0,0,0,package://Scara Assembly urdf 1/meshes/Link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Scara Assembly urdf 1/meshes/Link_4.STL,,Gripper_Scara-2/Split1[1]-1,Coordinate System5,Axis3,Joint_4,revolute,0,0,0.8335,0,0,0,Link_3,0,0,-1,0,29.7,-6.98,6.98,,,,,,,,
